iter	Passed	Remaining
456	831	988
457	833	986
458	835	985
459	837	983
460	838	980
461	840	979
462	843	978
463	846	978
464	848	976
465	851	975
466	853	973
467	855	972
468	856	969
469	857	967
470	861	967
471	865	968
472	869	968
473	870	966
474	872	964
475	874	962
476	877	961
477	878	959
478	880	957
479	881	954
480	882	952
481	883	950
482	884	947
483	885	944
484	886	941
485	887	938
486	888	935
487	889	933
488	891	931
489	893	929
490	894	926
491	895	924
492	896	921
493	897	919
494	898	916
495	899	914
496	900	911
497	902	909
498	903	906
499	904	904
500	906	902
501	907	900
502	908	898
503	909	895
504	911	893
505	912	890
506	913	888
507	915	886
508	916	884
509	918	882
510	920	881
511	922	879
512	923	877
513	925	874
514	926	872
515	927	869
516	928	867
517	929	865
518	930	862
519	932	860
520	934	858
521	937	858
522	938	856
523	940	853
524	941	852
525	943	849
526	944	847
527	945	845
528	946	843
529	948	840
530	950	839
531	951	837
532	953	835
533	954	832
534	955	830
535	955	827
536	956	825
537	958	822
538	959	820
539	960	818
540	961	815
541	962	813
542	964	811
543	965	809
544	966	807
545	967	804
546	968	802
547	969	799
548	970	797
549	971	795
550	972	792
551	973	790
552	974	787
553	975	785
554	976	783
555	978	781
556	979	779
557	981	777
558	982	774
559	983	772
560	984	770
561	985	767
562	986	765
563	987	763
564	987	760
565	989	758
566	990	756
567	990	753
568	992	751
569	993	749
570	995	747
571	996	745
572	997	743
573	998	741
574	999	738
575	1000	736
576	1001	734
577	1002	731
578	1003	729
579	1004	727
580	1005	725
581	1006	722
582	1008	721
583	1010	719
584	1016	720
585	1018	719
586	1019	717
587	1021	715
588	1024	715
589	1026	713
590	1027	711
591	1028	709
592	1030	706
593	1030	704
594	1032	702
595	1033	700
596	1035	699
597	1036	696
598	1039	696
599	1041	694
600	1043	692
601	1044	690
602	1045	688
603	1046	686
604	1047	683
605	1048	681
606	1049	679
607	1051	677
608	1054	676
609	1056	675
610	1057	673
611	1058	671
612	1060	669
613	1062	667
614	1063	665
615	1064	663
616	1067	662
617	1070	661
618	1073	660
619	1074	658
620	1076	656
621	1077	654
622	1079	653
623	1080	651
624	1083	650
625	1085	648
626	1086	646
627	1089	645
628	1091	643
629	1092	641
630	1094	639
631	1097	639
632	1098	637
633	1100	635
634	1101	633
635	1102	631
636	1104	629
637	1105	627
638	1106	625
639	1108	623
640	1109	621
641	1112	620
642	1113	618
643	1115	616
644	1116	614
645	1117	612
646	1118	610
647	1119	607
648	1120	606
649	1121	604
650	1122	601
651	1123	599
652	1126	598
653	1127	596
654	1128	594
655	1129	592
656	1130	590
657	1131	588
658	1132	586
659	1133	584
660	1134	581
661	1136	580
662	1137	578
663	1138	576
664	1140	574
665	1141	572
666	1142	570
667	1143	568
668	1145	566
669	1146	564
670	1147	562
671	1148	560
672	1150	558
673	1151	557
674	1156	556
675	1157	554
676	1158	552
677	1159	550
678	1160	548
679	1161	546
680	1163	544
681	1164	542
682	1165	540
683	1166	538
684	1167	536
685	1169	535
686	1171	533
687	1172	531
688	1173	529
689	1174	527
690	1176	526
691	1178	524
692	1180	522
693	1181	520
694	1183	519
695	1184	517
696	1185	515
697	1187	513
698	1188	511
699	1189	509
700	1189	507
701	1191	505
702	1193	504
703	1194	502
704	1195	500
705	1196	498
706	1198	496
707	1200	494
708	1201	493
709	1202	491
710	1203	489
711	1204	487
712	1205	485
713	1206	483
714	1207	481
715	1208	479
716	1209	477
717	1210	475
718	1211	473
719	1212	471
720	1214	469
721	1215	467
722	1216	466
723	1217	464
724	1219	462
725	1220	460
726	1224	459
727	1230	459
728	1232	458
729	1234	456
730	1235	454
731	1237	452
732	1238	451
733	1239	449
734	1241	447
735	1243	446
736	1245	444
737	1246	442
738	1247	440
739	1249	439
740	1251	437
741	1252	435
742	1254	433
743	1257	432
744	1259	430
745	1260	429
746	1262	427
747	1263	425
748	1264	423
749	1266	422
750	1267	420
751	1269	418
752	1272	417
753	1274	415
754	1275	414
755	1276	412
756	1277	410
757	1278	408
758	1279	406
759	1281	404
760	1282	402
761	1283	400
762	1285	399
763	1288	397
764	1289	396
765	1291	394
766	1292	392
767	1294	391
768	1295	389
769	1297	387
770	1298	385
771	1305	385
772	1306	383
773	1307	381
774	1308	379
775	1309	378
776	1310	376
777	1311	374
778	1313	372
779	1314	370
780	1316	369
781	1319	367
782	1320	365
783	1321	364
784	1322	362
785	1323	360
786	1326	359
787	1328	357
788	1329	355
789	1333	354
790	1334	352
791	1335	350
792	1336	348
793	1338	347
794	1339	345
795	1340	343
796	1341	341
797	1342	339
798	1344	338
799	1345	336
800	1347	334
801	1349	333
802	1350	331
803	1351	329
804	1352	327
805	1353	325
806	1354	323
807	1356	322
808	1357	320
809	1358	318
810	1361	317
811	1363	315
812	1365	313
813	1366	312
814	1366	310
815	1368	308
816	1369	306
817	1370	304
818	1371	303
819	1372	301
820	1373	299
821	1376	298
822	1378	296
823	1379	294
824	1380	292
825	1382	291
826	1383	289
827	1384	287
828	1385	285
829	1387	284
830	1388	282
831	1391	280
832	1392	279
833	1394	277
834	1395	275
835	1396	274
836	1397	272
837	1399	270
838	1399	268
839	1400	266
840	1402	265
841	1403	263
842	1404	261
843	1406	260
844	1407	258
845	1408	256
846	1409	254
847	1410	252
848	1411	251
849	1412	249
850	1413	247
851	1414	245
852	1415	243
853	1417	242
854	1418	240
855	1420	238
856	1421	237
857	1422	235
858	1423	233
859	1424	231
860	1425	230
861	1426	228
862	1427	226
863	1428	224
864	1429	223
865	1431	221
866	1433	219
867	1436	218
868	1437	216
869	1438	214
870	1439	213
871	1441	211
872	1442	209
873	1444	208
874	1445	206
875	1447	204
876	1449	203
877	1450	201
878	1452	199
879	1453	198
880	1455	196
881	1457	195
882	1460	193
883	1466	192
884	1467	190
885	1469	189
886	1471	187
887	1472	185
888	1474	184
889	1475	182
890	1479	180
891	1480	179
892	1481	177
893	1482	175
894	1483	174
895	1485	172
896	1486	170
897	1487	168
898	1489	167
899	1491	165
900	1493	164
901	1494	162
902	1495	160
903	1497	158
904	1498	157
905	1499	155
906	1500	153
907	1501	152
908	1502	150
909	1504	148
910	1506	147
911	1508	145
912	1509	143
913	1510	142
914	1511	140
915	1512	138
916	1513	136
917	1514	135
918	1515	133
919	1516	131
920	1517	130
921	1518	128
922	1519	126
923	1521	125
924	1523	123
925	1524	121
926	1525	120
927	1526	118
928	1528	116
929	1529	115
930	1530	113
931	1531	111
932	1532	110
933	1533	108
934	1534	106
935	1536	105
936	1538	103
937	1539	101
938	1540	100
939	1541	98
940	1542	96
941	1543	95
942	1544	93
943	1545	91
944	1547	90
945	1547	88
946	1548	86
947	1550	85
948	1552	83
949	1553	81
950	1554	80
951	1556	78
952	1557	76
953	1558	75
954	1559	73
955	1560	71
956	1560	70
957	1561	68
958	1562	66
959	1564	65
960	1566	63
961	1567	61
962	1568	60
963	1570	58
964	1571	57
965	1572	55
966	1574	53
967	1575	52
968	1576	50
969	1577	48
970	1579	47
971	1581	45
972	1582	43
973	1583	42
974	1584	40
975	1586	39
976	1587	37
977	1588	35
978	1589	34
979	1590	32
980	1591	30
981	1592	29
982	1594	27
983	1596	25
984	1597	24
985	1598	22
986	1599	21
987	1600	19
988	1601	17
989	1602	16
990	1604	14
991	1605	12
992	1606	11
993	1607	9
994	1610	8
995	1612	6
996	1614	4
997	1615	3
998	1616	1
999	1618	0
